text@vd1970m	@vd1970m	514.486	518.095	как по Есенину / тоскливо / и сказочно //
text@vd1970m	@vd1970m	518.497	520.279	в замке уютный бардак //
text@vd1970m	@vd1970m	520.769	525.073	каплей последней звёздочно-марочно / и слёзы / и дождь / и коньяк //
text@vd1970m	@vd1970m	525.606	530.106	сначала был ливень / потом был туман / так тяжек и безголосен //
text@vd1970m	@vd1970m	530.497	535.91	и замок мой / пал / и нынче в нём бал / и королева в нём / осень //
text@vd1970m	@vd1970m	536.41	542.866	даже времени не подвластна! / и королева сама это знает / согласитесь! / она прекрасна / в шубке из горностая! //
text@vd1970m	@vd1970m	543.192	546.323	королева своего сердца / лишь мантии касаюсь едва //
text@vd1970m	@vd1970m	547.062	552.583	что поделать / всему своё место / кому / Е один / кому-то / Е два //
text@vd1970m	@vd1970m	553.311	556.681	в замке окно всего лишь одно / окно выходящее в сад //
text@vd1970m	@vd1970m	557.442	560.29	там сыро / темно / и тысячи / но //
text@vd1970m	@vd1970m	561.073	565.464	как жаль / что ещё / не вино / раздавленный / мой / виноград //
words@mm1972m	@mm1972m	9.18	9.326	ну
words@mm1972m	@mm1972m	9.326	9.463	шо
words@mm1972m	@mm1972m	9.463	9.834	Вениамин
words@mm1972m	@mm1972m	9.834	10.353	?
words@mm1972m	@mm1972m	10.353	10.873	/
words@mm1972m	@mm1972m	10.873	11.21	поехали
words@mm1972m	@mm1972m	11.21	11.257	?
words@mm1972m	@mm1972m	11.257	11.315	/
words@mm1972m	@mm1972m	11.315	11.36	/
words@mm1972m	@mm1972m	14.54	14.989	расскажи-ка
words@mm1972m	@mm1972m	14.989	15.836	мне
words@mm1972m	@mm1972m	15.836	16.684	/
words@mm1972m	@mm1972m	16.684	17.026	Вениамин
words@mm1972m	@mm1972m	17.026	17.478	Дыркин
words@mm1972m	@mm1972m	17.478	19.278	/
words@mm1972m	@mm1972m	19.278	19.821	как
words@mm1972m	@mm1972m	19.821	20.089	родился
words@mm1972m	@mm1972m	20.089	20.394	твой
words@mm1972m	@mm1972m	20.394	20.884	замечательный
words@mm1972m	@mm1972m	20.884	21.089	/
words@mm1972m	@mm1972m	21.089	21.368	псевдоним
words@mm1972m	@mm1972m	21.368	21.421	?
words@mm1972m	@mm1972m	21.421	21.489	/
words@mm1972m	@mm1972m	21.489	21.55	/
words@mm1972m	@mm1972m	32.605	32.815	ну
words@mm1972m	@mm1972m	32.815	33.073	рассказывай
words@mm1972m	@mm1972m	33.073	33.278	как
words@mm1972m	@mm1972m	33.278	33.554	псевдоним
words@mm1972m	@mm1972m	33.554	33.83	твой
words@mm1972m	@mm1972m	33.83	34.106	родился
words@mm1972m	@mm1972m	34.106	34.382	!
words@mm1972m	@mm1972m	34.382	35.063	/
words@mm1972m	@mm1972m	35.063	35.363	как
words@mm1972m	@mm1972m	35.363	35.668	было
words@mm1972m	@mm1972m	35.668	35.836	!
words@mm1972m	@mm1972m	35.836	35.957	/
words@mm1972m	@mm1972m	35.957	36.045	/
words@mm1972m	@mm1972m	78.055	78.275	откуда
words@mm1972m	@mm1972m	78.275	78.576	эта
words@mm1972m	@mm1972m	78.576	79.017	Максютовка
words@mm1972m	@mm1972m	79.017	79.1	?
words@mm1972m	@mm1972m	79.1	79.247	/
words@mm1972m	@mm1972m	79.247	79.376	/
words@mm1972m	@mm1972m	119.357	119.558	Вень
words@mm1972m	@mm1972m	119.558	119.641	!
words@mm1972m	@mm1972m	119.641	119.805	/
words@mm1972m	@mm1972m	119.805	120.5	ааа
words@mm1972m	@mm1972m	120.5	121.382	/
words@mm1972m	@mm1972m	121.382	121.488	под
words@mm1972m	@mm1972m	121.488	121.764	каким
words@mm1972m	@mm1972m	121.764	122.117	именем
words@mm1972m	@mm1972m	122.117	122.341	ещё
words@mm1972m	@mm1972m	122.341	122.552	тебя
words@mm1972m	@mm1972m	122.552	122.77	знают
words@mm1972m	@mm1972m	122.77	122.905	?
words@mm1972m	@mm1972m	122.905	123.041	/
words@mm1972m	@mm1972m	123.041	123.282	и
words@mm1972m	@mm1972m	123.282	123.541	где
words@mm1972m	@mm1972m	123.541	123.6	?
words@mm1972m	@mm1972m	123.6	123.639	/
words@mm1972m	@mm1972m	123.639	123.678	/
words@mm1972m	@mm1972m	163.244	163.33	то
words@mm1972m	@mm1972m	163.33	163.495	есть
words@mm1972m	@mm1972m	163.495	163.825	сразу
words@mm1972m	@mm1972m	163.825	164.315	напрашивается
words@mm1972m	@mm1972m	164.315	164.975	аналогия
words@mm1972m	@mm1972m	164.975	165.64	/
words@mm1972m	@mm1972m	165.64	166.09	Дыркин
words@mm1972m	@mm1972m	166.09	166.285	/
words@mm1972m	@mm1972m	166.285	166.618	и
words@mm1972m	@mm1972m	166.618	166.951	Дрантя
words@mm1972m	@mm1972m	166.951	168.555	/
words@mm1972m	@mm1972m	168.555	168.675	не
words@mm1972m	@mm1972m	168.675	168.83	так
words@mm1972m	@mm1972m	168.83	169.0	ли
words@mm1972m	@mm1972m	169.0	169.05	?
words@mm1972m	@mm1972m	169.05	169.14	/
words@mm1972m	@mm1972m	169.14	169.282	/
words@mm1972m	@mm1972m	180.904	181.025	то
words@mm1972m	@mm1972m	181.025	181.115	есть
words@mm1972m	@mm1972m	181.115	181.235	это
words@mm1972m	@mm1972m	181.235	181.32	по
words@mm1972m	@mm1972m	181.32	181.505	сути
words@mm1972m	@mm1972m	181.505	181.75	работает
words@mm1972m	@mm1972m	181.75	182.83	подсознание
words@mm1972m	@mm1972m	182.83	182.895	/
words@mm1972m	@mm1972m	182.895	182.961	/
words@mm1972m	@mm1972m	231.794	231.895	а
words@mm1972m	@mm1972m	231.895	232.055	чем
words@mm1972m	@mm1972m	232.055	232.215	ты
words@mm1972m	@mm1972m	232.215	232.465	вообще
words@mm1972m	@mm1972m	232.465	232.745	занимаешься
words@mm1972m	@mm1972m	232.745	232.865	?
words@mm1972m	@mm1972m	232.865	234.555	/
words@mm1972m	@mm1972m	234.555	235.11	помимо
words@mm1972m	@mm1972m	235.11	235.45	пения
words@mm1972m	@mm1972m	235.45	235.73	песен
words@mm1972m	@mm1972m	235.73	235.79	/
words@mm1972m	@mm1972m	235.79	235.85	/
words@mm1972m	@mm1972m	252.211	252.42	у
words@mm1972m	@mm1972m	252.42	252.629	тебя
words@mm1972m	@mm1972m	252.629	252.838	/
words@mm1972m	@mm1972m	252.838	253.047	есть
words@mm1972m	@mm1972m	253.047	253.375	/
words@mm1972m	@mm1972m	253.375	253.94	жизненное
words@mm1972m	@mm1972m	253.94	254.17	кредо
words@mm1972m	@mm1972m	254.17	254.235	?
words@mm1972m	@mm1972m	254.235	254.275	/
words@mm1972m	@mm1972m	254.275	254.306	/
words@mm1972m	@mm1972m	258.679	258.8	ну
words@mm1972m	@mm1972m	258.8	258.895	/
words@mm1972m	@mm1972m	258.895	259.03	ты
words@mm1972m	@mm1972m	259.03	259.275	помнишь
words@mm1972m	@mm1972m	259.275	259.91	когда
words@mm1972m	@mm1972m	259.91	260.17	/
words@mm1972m	@mm1972m	260.17	260.263	/
words@mm1972m	@mm1972m	267.829	267.971	так
words@mm1972m	@mm1972m	267.971	268.113	твоё
words@mm1972m	@mm1972m	268.113	268.255	жизненное
words@mm1972m	@mm1972m	268.255	268.397	кредо
words@mm1972m	@mm1972m	268.397	268.539	?
words@mm1972m	@mm1972m	268.539	268.681	/
words@mm1972m	@mm1972m	268.681	268.829	/
words@mm1972m	@mm1972m	277.529	277.774	кредо
words@mm1972m	@mm1972m	277.774	278.019	/
words@mm1972m	@mm1972m	278.019	278.265	/
words@mm1972m	@mm1972m	279.381	279.735	кредо
words@mm1972m	@mm1972m	279.735	280.09	переводится
words@mm1972m	@mm1972m	280.09	280.39	с
words@mm1972m	@mm1972m	280.39	280.83	латыни
words@mm1972m	@mm1972m	280.83	281.23	как
words@mm1972m	@mm1972m	281.23	281.465	верую
words@mm1972m	@mm1972m	281.465	281.54	/
words@mm1972m	@mm1972m	281.54	281.608	/
words@mm1972m	@mm1972m	282.126	282.325	верую
words@mm1972m	@mm1972m	282.325	282.545	/
words@mm1972m	@mm1972m	282.545	282.643	то
words@mm1972m	@mm1972m	282.643	282.85	/
words@mm1972m	@mm1972m	282.85	283.075	в
words@mm1972m	@mm1972m	283.075	283.232	ть...
words@mm1972m	@mm1972m	283.232	283.389	/
words@mm1972m	@mm1972m	283.389	283.546	во
words@mm1972m	@mm1972m	283.546	283.703	что
words@mm1972m	@mm1972m	283.703	283.86	ты
words@mm1972m	@mm1972m	283.86	284.017	веришь
words@mm1972m	@mm1972m	284.017	284.174	то
words@mm1972m	@mm1972m	284.174	284.331	есть
words@mm1972m	@mm1972m	284.331	284.488	/
words@mm1972m	@mm1972m	284.488	284.645	то
words@mm1972m	@mm1972m	284.645	284.802	/
words@mm1972m	@mm1972m	284.802	284.959	чем
words@mm1972m	@mm1972m	284.959	285.116	ты
words@mm1972m	@mm1972m	285.116	285.39	живёшь
words@mm1972m	@mm1972m	285.39	285.44	/
words@mm1972m	@mm1972m	285.44	285.522	/
words@mm1972m	@mm1972m	291.491	291.604	и
words@mm1972m	@mm1972m	291.604	291.717	какое
words@mm1972m	@mm1972m	291.717	291.83	оно
words@mm1972m	@mm1972m	291.83	291.943	?
words@mm1972m	@mm1972m	291.943	292.056	/
words@mm1972m	@mm1972m	292.056	292.17	/
words@mm1972m	@mm1972m	300.451	300.649	но
words@mm1972m	@mm1972m	300.649	300.847	ты
words@mm1972m	@mm1972m	300.847	301.045	мне
words@mm1972m	@mm1972m	301.045	301.243	расскажешь
words@mm1972m	@mm1972m	301.243	301.441	об
words@mm1972m	@mm1972m	301.441	301.935	этом
words@mm1972m	@mm1972m	301.935	302.345	потом
words@mm1972m	@mm1972m	302.345	302.37	!
words@mm1972m	@mm1972m	302.37	302.41	/
words@mm1972m	@mm1972m	302.41	302.432	/
words@mm1972m	@mm1972m	310.24	310.3	у
words@mm1972m	@mm1972m	310.3	310.567	тя
words@mm1972m	@mm1972m	310.567	310.834	есть
words@mm1972m	@mm1972m	310.834	311.101	планы
words@mm1972m	@mm1972m	311.101	311.37	на
